Pozicija,link,konkurs
Test Automation Engineer,https://poslovi.infostud.com/posao/Test-Automation-Engineer/Everseen-d.o.o./330934?esource=search&emedium=1&item_index=25,https://poslovi.infostud.com/konkurs/330934
Back-end Web Developer,https://poslovi.infostud.com/posao/Back-end-Web-Developer/Everseen-d.o.o./331010?esource=search&emedium=1&item_index=26,https://poslovi.infostud.com/konkurs/331010
Front-end Web Developer,https://poslovi.infostud.com/posao/Front-end-Web-Developer/Everseen-d.o.o./331009?esource=search&emedium=1&item_index=27,https://poslovi.infostud.com/konkurs/331009
Menadžer prodaje,https://poslovi.infostud.com/posao/Menadzer-prodaje/Aera-Group-d.o.o./330931?esource=search&emedium=1&item_index=28,https://poslovi.infostud.com/konkurs/330931
Predstavnik prodaje za kanadsko tržište (engleski jezik),https://poslovi.infostud.com/posao/Predstavnik-prodaje-za-kanadsko-trziste-engleski-jezik/Fortrade/330929?esource=search&emedium=1&item_index=29,https://poslovi.infostud.com/konkurs/330929
Predstavnik prodaje (engleski jezik),https://poslovi.infostud.com/posao/Predstavnik-prodaje-engleski-jezik/Fortrade/330926?esource=search&emedium=1&item_index=30,https://poslovi.infostud.com/konkurs/330926
Operational Risk Management Leader SEE,https://poslovi.infostud.com/posao/Operational-Risk-Management-Leader-SEE/IKEA-Srbija-d.o.o./330766?esource=search&emedium=1&item_index=31,https://poslovi.infostud.com/konkurs/330766
Food Commercial Leader SEE,https://poslovi.infostud.com/posao/Food-Commercial-Leader-SEE/IKEA-Srbija-d.o.o./330759?esource=search&emedium=2&item_index=3,https://poslovi.infostud.com/konkurs/330759
Process Excellence Specialist,https://poslovi.infostud.com/posao/Process-Excellence-Specialist/Ball-Global-Business-Services-EMEA-d.o.o./330701?esource=search&emedium=2&item_index=4,https://poslovi.infostud.com/konkurs/330701
Procurement & Compliance Specialist,https://poslovi.infostud.com/posao/Procurement-Compliance-Specialist/IKEA-Srbija-d.o.o./330471?esource=search&emedium=2&item_index=5,https://poslovi.infostud.com/konkurs/330471
