Pozicija,link,konkurs,aplicirao
Referent nabavke i prodaje,https://poslovi.infostud.com/posao/Referent-nabavke-i-prodaje/Workforce/331895?esource=search&emedium=1&item_index=8,https://poslovi.infostud.com/konkurs/331895,
Menadžer planiranja zaliha,https://poslovi.infostud.com/posao/Menadzer-planiranja-zaliha/Atlantic-Grupa/331825?esource=search&emedium=1&item_index=9,https://poslovi.infostud.com/konkurs/331825,
Pricing Specialist,https://poslovi.infostud.com/posao/Pricing-Specialist/HILL-International-d.o.o./331803?esource=search&emedium=1&item_index=10,https://poslovi.infostud.com/konkurs/331803,
Receptionist,https://poslovi.infostud.com/posao/Receptionist/Beograd-na-vodi-d.o.o./331834?esource=search&emedium=1&item_index=11,https://poslovi.infostud.com/konkurs/331834,
Product Expert for façade and thermo insulation,https://poslovi.infostud.com/posao/Product-Expert-for-facade-and-thermo-insulation/HILL-International-d.o.o./331801?esource=search&emedium=1&item_index=12,https://poslovi.infostud.com/konkurs/331801,
Agent u korisničkom centru u oblasti online bankarstva (Nemački jezik),https://poslovi.infostud.com/posao/Agent-u-korisnickom-centru-u-oblasti-online-bankarstva-Nemacki-jezik/Transcom-Worldwide/331800?esource=search&emedium=1&item_index=13,https://poslovi.infostud.com/konkurs/331800,
"Senior Data Engineer, Automated Journalism",https://poslovi.infostud.com/posao/Senior-Data-Engineer-Automated-Journalism/TX-Services/331743?esource=search&emedium=1&item_index=14,https://poslovi.infostud.com/konkurs/331743,
Commercialization Manager,https://poslovi.infostud.com/posao/Commercialization-Manager/Marbo-Product-d.o.o./331742?esource=search&emedium=1&item_index=15,https://poslovi.infostud.com/konkurs/331742,
QA Test Engineer,https://poslovi.infostud.com/posao/qualityassurance-Test-Engineer/Daon/331736?esource=search&emedium=1&item_index=16,https://poslovi.infostud.com/konkurs/331736,
Project Manager,https://poslovi.infostud.com/posao/Project-Manager/Everseen-d.o.o./331640?esource=search&emedium=1&item_index=17,https://poslovi.infostud.com/konkurs/331640,
Fiber Optics Designer,https://poslovi.infostud.com/posao/Fiber-Optics-Designer/DBA-Pro./331633?esource=search&emedium=1&item_index=18,https://poslovi.infostud.com/konkurs/331633,
HR Manager,https://poslovi.infostud.com/posao/HR-Manager/Medjunarodni-komitet-Crvenog-krsta/331582?esource=search&emedium=1&item_index=19,https://poslovi.infostud.com/konkurs/331582,
Finance and Accounting Junior Manager,https://poslovi.infostud.com/posao/Finance-and-Accounting-Junior-Manager/Procter-Gamble-d.o.o./331618?esource=search&emedium=1&item_index=20,https://poslovi.infostud.com/konkurs/331618,
Project Management Specialist and Data Analyst,https://poslovi.infostud.com/posao/Project-Management-Specialist-and-Data-Analyst/Medjunarodni-komitet-Crvenog-krsta/331493?esource=search&emedium=1&item_index=21,https://poslovi.infostud.com/konkurs/331493,
Customer Support Specialist (Russian),https://poslovi.infostud.com/posao/Customer-Support-Specialist-Russian/Monvoko-Service-d.o.o./331446?esource=search&emedium=1&item_index=22,https://poslovi.infostud.com/konkurs/331446,
Continuous Improvement Supervisor,https://poslovi.infostud.com/posao/Continuous-Improvement-Supervisor/Ball-Global-Business-Services-EMEA-d.o.o./331339?esource=search&emedium=1&item_index=23,https://poslovi.infostud.com/konkurs/331339,
IT Backoffice Agent,https://poslovi.infostud.com/posao/IT-Backoffice-Agent/TX-Services/331191?esource=search&emedium=1&item_index=24,https://poslovi.infostud.com/konkurs/331191,
Data Architecture and Transparency Specialist,https://poslovi.infostud.com/posao/Data-Architecture-and-Transparency-Specialist/Medjunarodni-komitet-Crvenog-krsta/331049?esource=search&emedium=1&item_index=25,https://poslovi.infostud.com/konkurs/331049,
Global Support Officer (ERP / Logistics),https://poslovi.infostud.com/posao/Global-Support-Officer-ERP-Logistics/Medjunarodni-komitet-Crvenog-krsta/331081?esource=search&emedium=1&item_index=26,https://poslovi.infostud.com/konkurs/331081,
Inženjer energetskog postrojenja,https://poslovi.infostud.com/posao/Inzenjer-energetskog-postrojenja/Fabrika-decje-hrane-d.o.o./331093?esource=search&emedium=1&item_index=27,https://poslovi.infostud.com/konkurs/331093,
Back-end Web Developer,https://poslovi.infostud.com/posao/Back-end-Web-Developer/Everseen-d.o.o./331010?esource=search&emedium=1&item_index=28,https://poslovi.infostud.com/konkurs/331010,
Front-end Web Developer,https://poslovi.infostud.com/posao/Front-end-Web-Developer/Everseen-d.o.o./331009?esource=search&emedium=1&item_index=29,https://poslovi.infostud.com/konkurs/331009,
Business Analyst,https://poslovi.infostud.com/posao/Business-Analyst/Everseen-d.o.o./330935?esource=search&emedium=1&item_index=30,https://poslovi.infostud.com/konkurs/330935,
Test Automation Engineer,https://poslovi.infostud.com/posao/Test-Automation-Engineer/Everseen-d.o.o./330934?esource=search&emedium=1&item_index=31,https://poslovi.infostud.com/konkurs/330934,
Menadžer prodaje,https://poslovi.infostud.com/posao/Menadzer-prodaje/Aera-Group-d.o.o./330931?esource=search&emedium=2&item_index=3,https://poslovi.infostud.com/konkurs/330931,
Predstavnik prodaje za kanadsko tržište (engleski jezik),https://poslovi.infostud.com/posao/Predstavnik-prodaje-za-kanadsko-trziste-engleski-jezik/Fortrade/330929?esource=search&emedium=2&item_index=4,https://poslovi.infostud.com/konkurs/330929,
Predstavnik prodaje (engleski jezik),https://poslovi.infostud.com/posao/Predstavnik-prodaje-engleski-jezik/Fortrade/330926?esource=search&emedium=2&item_index=5,https://poslovi.infostud.com/konkurs/330926,
Food Commercial Leader SEE,https://poslovi.infostud.com/posao/Food-Commercial-Leader-SEE/IKEA-Srbija-d.o.o./330759?esource=search&emedium=2&item_index=6,https://poslovi.infostud.com/konkurs/330759,
Operational Risk Management Leader SEE,https://poslovi.infostud.com/posao/Operational-Risk-Management-Leader-SEE/IKEA-Srbija-d.o.o./330766?esource=search&emedium=2&item_index=7,https://poslovi.infostud.com/konkurs/330766,
Process Excellence Specialist,https://poslovi.infostud.com/posao/Process-Excellence-Specialist/Ball-Global-Business-Services-EMEA-d.o.o./330701?esource=search&emedium=2&item_index=8,https://poslovi.infostud.com/konkurs/330701,
Procurement & Compliance Specialist,https://poslovi.infostud.com/posao/Procurement-Compliance-Specialist/IKEA-Srbija-d.o.o./330471?esource=search&emedium=2&item_index=9,https://poslovi.infostud.com/konkurs/330471,
Water and Habitat Data and Analytics Specialist,https://poslovi.infostud.com/posao/Water-and-Habitat-Data-and-Analytics-Specialist/Medjunarodni-komitet-Crvenog-krsta/330424?esource=search&emedium=2&item_index=10,https://poslovi.infostud.com/konkurs/330424,
Business Sales Analyst,https://poslovi.infostud.com/posao/Business-Sales-Analyst/Ardagh-Metal-Beverage-Serbia-d.o.o./330390?esource=search&emedium=2&item_index=11,https://poslovi.infostud.com/konkurs/330390,
Call Center Agent in Sales (English),https://poslovi.infostud.com/posao/Call-Center-Agent-in-Sales-English/Comunico88-d.o.o./330368?esource=search&emedium=2&item_index=12,https://poslovi.infostud.com/konkurs/330368,
Оператор ПК - Microsoft Excel / LibreOffice (русскоговорящий),https://poslovi.infostud.com/posao/Operator-PK-Microsoft-Excel-LibreOffice-russkogovori/Citrus-Systems/330293?esource=search&emedium=2&item_index=13,https://poslovi.infostud.com/konkurs/330293,
DevOps Engineer,https://poslovi.infostud.com/posao/DevOps-Engineer/Daon/330265?esource=search&emedium=2&item_index=14,https://poslovi.infostud.com/konkurs/330265,
Java Engineer,https://poslovi.infostud.com/posao/Java-Engineer/Daon/330264?esource=search&emedium=2&item_index=15,https://poslovi.infostud.com/konkurs/330264,
Java Engineer (6 months contract),https://poslovi.infostud.com/posao/Java-Engineer-6-months-contract/Daon/330260?esource=search&emedium=2&item_index=16,https://poslovi.infostud.com/konkurs/330260,
Junior Python Crawling Engineer,https://poslovi.infostud.com/posao/Junior-Python-Crawling-Engineer/TX-Services/329998?esource=search&emedium=2&item_index=17,https://poslovi.infostud.com/konkurs/329998,
Talent Acquisition Specialist (4-6 months contract),https://poslovi.infostud.com/posao/Talent-Acquisition-Specialist-4-6-months-contract/Daon/329937?esource=search&emedium=2&item_index=18,https://poslovi.infostud.com/konkurs/329937,
